nom site,Polluant,valeur brute
Chalon Centre Ville,NO2,14.707692307692307
Chalon Centre Ville,NOX as NO2,25.75961538461539
Chalon Centre Ville,PM10,9.268749999999999
Chalon Centre Ville,PM2.5,5.074999999999999
Chamalières Europe,NO,13.840384615384616
Chamalières Europe,NO2,25.036538461538463
Chamalières Europe,PM10,8.885416666666666
Chambéry Trafic,NO,16.11346153846154
Chambéry Trafic,NO2,21.823076923076925
Champ sur Drac,NO,2.523076923076923
Champ sur Drac,NO2,14.55
Champ sur Drac,O3,14.832692307692307
Champforgueil,NO,2.873076923076923
Champforgueil,NO2,11.561538461538465
Champforgueil,NOX as NO2,15.990384615384615
Champforgueil,O3,27.555769230769233
Champforgueil,PM10,10.525
Chartres_trafic,NO,11.10576923076923
Chartres_trafic,NO2,18.790384615384617
Chartres_trafic,NOX as NO2,35.77307692307692
Chartres_trafic,PM2.5,6.045833333333333
Chateauneuf La Mede,PM10,7.691666666666666
Chateauroux Sud,NO,3.3576923076923078
Chateauroux Sud,NO2,4.480769230769232
Chateauroux Sud,NOX as NO2,9.607692307692307
Chateauroux Sud,O3,33.99230769230769
Chateauroux Sud,PM10,9.521153846153846
Chateauroux Sud,PM2.5,7.323076923076924
Chatenois,PM10,8.345833333333333
Chatenois,SO2,0.07243538461538462
Cheiron,O3,72.01153846153846
Cherbourg Hotel de Ville,NO,0.5269230769230769
Cherbourg Hotel de Ville,NO2,7.2846153846153845
Cherbourg Hotel de Ville,NOX as NO2,8.073076923076922
Cherbourg Hotel de Ville,O3,67.52115384615385
Cherbourg Hotel de Ville,PM10,7.94423076923077
Cherbourg Hotel de Ville,PM2.5,3.719230769230769
Cherbourg port charb,PM10,13.474999999999996
Clermont-Esplanade Gare,NO,12.079166666666667
Clermont-Esplanade Gare,NO2,29.2375
Clermont-Esplanade Gare,PM10,13.796153846153846
Clermont-Esplanade Gare,PM2.5,9.957692307692307
Colmar Centre,NO,11.421153846153848
Colmar Centre,NO2,18.628846153846155
Colmar Centre,NOX as NO2,36.07115384615384
Colmar Centre,PM10,6.904166666666668
Colmar Sud,O3,12.953846153846154
Concorde,NO,16.188888888888886
Concorde,NO2,14.869444444444444
Concorde,NOX as NO2,39.66388888888889
DAURAT ST GAUDENS,SO2,-0.4942307692307692
DAX,NO,1.2230769230769232
DAX,NO2,5.332692307692308
DAX,NOX as NO2,7.198076923076922
DAX,O3,63.0326923076923
DAX,PM10,4.096153846153847
DAX,PM2.5,2.365384615384616
DELACROIX,NO,2.5625000000000004
DELACROIX,NO2,13.518749999999999
DELACROIX,NOX as NO2,17.46875
DELACROIX,O3,26.225000000000005
DELACROIX,PM10,12.158333333333333
DOUMER,NO,27.716025384615385
DOUMER,NO2,32.245513076923075
DOUMER,NOX as NO2,74.34743615384615
DOUMER,PM10,15.860416666666666
DOUMER,PM2.5,6.708333333333333
Daix,O3,44.09679461538462
Dambenois Citoyen,O3,40.008974615384616
Damparis,NO,4.769871538461539
Damparis,NO2,6.446794615384615
Damparis,NOX as NO2,13.760897692307692
Damparis,SO2,2.425641538461538
Denain Villars,NO,1.7326923076923075
Denain Villars,NO2,13.784615384615384
Denain Villars,NOX as NO2,16.43846153846154
Denain Villars,O3,32.060256153846154
Denain Villars,PM10,12.640909090909092
Dieppe Golf,O3,66.74423076923077
Dieppe Golf,PM10,9.478846153846154
Dieppe Golf,PM2.5,3.4596153846153843
Dieppe prox-auto,NO,19.442307692307693
Dieppe prox-auto,NO2,22.599999999999998
Dieppe prox-auto,NOX as NO2,52.357692307692304
Dieppe prox-auto,PM10,10.191666666666666
Dieppe prox-auto,PM2.5,5.474999999999999
Dijon Péjoces,NO,1.455769230769231
Dijon Péjoces,NO2,11.836538461538462
Dijon Péjoces,NOX as NO2,14.05769230769231
Dijon Péjoces,O3,36.13076923076923
Dijon Péjoces,PM10,11.352083333333333
Dijon Péjoces,PM2.5,4.006818181818182
Dijon Trémouille,NO,18.77628230769231
Dijon Trémouille,NO2,19.07628230769231
Dijon Trémouille,NOX as NO2,45.84871769230769
Dijon Trémouille,PM10,7.216666666666666
Dijon-Transvaal,PM2.5,3.03125
Dole centre,NO,6.624359230769231
Dole centre,NO2,14.109615384615385
Dole centre,NOX as NO2,24.261538461538457
Dole centre,O3,17.83012846153846
Dole centre,PM10,11.735416666666666
Donon Vosges Moyennes 2,NO,0.4807692307692309
Donon Vosges Moyennes 2,NO2,2.1653846153846152
Donon Vosges Moyennes 2,NOX as NO2,2.901346153846154
Donon Vosges Moyennes 2,O3,57.15961538461538
Donon Vosges Moyennes 2,PM10,3.2570515384615386
Donon Vosges Moyennes 2,PM2.5,2.340384615384615
Douai Theuriet,NO,3.923076923076923
Douai Theuriet,NO2,13.075
Douai Theuriet,NOX as NO2,19.098076923076924
Douai Theuriet,O3,25.192307692307693
Douai Theuriet,PM2.5,7.984615384615385
Dreux Centre,NO,0.08653846153846154
Dreux Centre,NO2,5.509615384615385
Dreux Centre,NOX as NO2,5.576923076923077
Dreux Centre,O3,30.50192307692308
Dreux Centre,PM10,6.996153846153846
Dreux Centre,PM2.5,4.598076923076923
Drôme Rurale Sud-SND,NO,0.875
